STD_YM,BLCK_SP_CD,CTPV_CD,CTPV_NM,CARD_HLDR_CT,AVG_CARD_CNT,AVG_CARD_LMT_AMT,CARD_USE_AMT,CRD_SLE_USE_AMT,LSP_USE_AMT,INSTL_USE_AMT,CASH_SVC_SUE_AMT,OVSEA_CSMP_AMT
202104,1,36,세종특별자치시,255264,5,14832,504679529,479918790,412569723,67349067,24760739,7338608
202104,1,41,경기도,10582141,4,11858,17818981507,16676390946,13893320847,2783070100,1142590561,216188498
202104,1,42,강원도,1132264,3,9344,1651932708,1537686729,1262298145,275388584,114245978,9208411
202104,1,43,충청북도,1230710,3,9107,1780940192,1666220933,1393800910,272420022,114719259,11405376
202104,1,44,충청남도,1619778,3,8899,2368154244,2223590961,1857101694,366489266,144563284,17341904
202104,1,45,전라북도,1329660,4,9021,1879617408,1760809161,1459492352,301316810,118808247,10520330
202104,1,46,전라남도,1301169,3,8160,1757910127,1647349155,1359167787,288181368,110560972,8800820
202104,1,47,경상북도,1932792,3,8490,2516156118,2343495977,1941177830,402318147,172660142,15314997
202104,1,48,경상남도,2514726,4,9846,3574235747,3303773209,2695965870,607807339,270462538,24147839
202104,1,50,제주특별자치도,505751,4,9289,826730311,772471568,635873258,136598310,54258743,6998628
202105,1,11,서울특별시,8097526,4,12287,14588921415,13683179654,11515617317,2167562338,905741761,219851083
202105,1,26,부산광역시,2642287,4,11448,4149225530,3813284679,3066321350,746963329,335940851,33585810
202105,1,27,대구광역시,1952861,4,10870,2950253561,2742103543,2253048852,489054691,208150018,19445981
202105,1,28,인천광역시,2317108,4,10817,3632613972,3353954262,2733537797,620416465,278659710,30000038
202105,1,29,광주광역시,1150599,4,10945,1947798214,1823368394,1518165522,305202872,124429820,9790973
202105,1,30,대전광역시,1197100,4,10910,2007166616,1879572336,1579634582,299937753,127594280,13645471
202105,1,31,울산광역시,885802,4,11239,1383177294,1275800722,1056156232,219644490,107376572,8159903
202105,1,36,세종특별자치시,255358,5,14904,527617370,501367611,429207938,72159673,26249760,6437735
202105,1,41,경기도,10575963,4,11933,18493599840,17299835294,14428589479,2871245815,1193764546,177255324
202105,1,42,강원도,1132376,3,9384,1703698591,1581894568,1303626304,278268263,121804023,8175780
202105,1,43,충청북도,1200564,3,9174,1806136028,1687598325,1413487115,274111210,118537703,11043601
202105,1,44,충청남도,1619266,3,8948,2448702076,2296211439,1920664951,375546488,152490637,13480254
202105,1,45,전라북도,1304642,4,9071,1918746144,1797373822,1496276005,301097817,121372321,8509651
202105,1,46,전라남도,1301267,3,8200,1823407047,1706727185,1414067733,292659451,116679862,7080969
202105,1,47,경상북도,1885799,3,8538,2541656078,2363889116,1961974605,401914511,177766961,12964756
202105,1,48,경상남도,2513629,4,9888,3713243928,3428771148,2804736704,624034443,284472781,20545722
202105,1,50,제주특별자치도,505881,4,9344,843994268,786110818,648289511,137821307,57883450,5296029
202106,1,11,서울특별시,8086288,4,12344,14214275460,13363846566,11224471522,2139375044,850428894,203610258
202106,1,26,부산광역시,2639570,4,11501,4106163485,3787252461,3046654996,740597465,318911024,31265541
202106,1,27,대구광역시,1948705,4,10906,2871373416,2672766380,2186662174,486104206,198607035,20636357
202106,1,28,인천광역시,2320371,4,10883,3575046447,3310766845,2693064258,617702588,264279602,31032243
202106,1,29,광주광역시,1149315,4,10990,1931608809,1815304606,1516064469,299240137,116304203,10406345
202106,1,30,대전광역시,1198302,4,10918,1932052072,1811619001,1517456614,294162387,120433071,13501919
202106,1,31,울산광역시,884242,4,11264,1372391418,1269541819,1056082422,213459397,102849599,8346242
202106,1,36,세종특별자치시,258857,5,14930,512650179,487856346,417393124,70463222,24793832,4627350
202106,1,41,경기도,10633352,4,12006,18010711601,16874104058,14030069213,2844034844,1136607544,171117838
202106,1,42,강원도,1138382,3,9419,1682420561,1565995291,1289470101,276525189,116425271,8683237
202106,1,43,충청북도,1237050,3,9182,1825864358,1709500656,1429350023,280150633,116363701,9584411
202106,1,44,충청남도,1630093,3,8975,2394942442,2250936611,1876872156,374064455,144005831,13758091
202106,1,45,전라북도,1333497,4,9077,1935718150,1818277201,1512175901,306101300,117440949,9339937
202106,1,46,전라남도,1309027,3,8214,1810135702,1698262109,1408055542,290206568,111873593,7313700
202106,1,47,경상북도,1942697,3,8567,2582283900,2407767129,1996322940,411444189,174516771,13641373
202106,1,48,경상남도,2521030,4,9916,3663587226,3392128691,2770701995,621426696,271458535,20962412
202106,1,50,제주특별자치도,508615,4,9391,837535482,782107725,643317993,138789733,55427757,5529489
202107,1,11,서울특별시,8084674,4,12453,14598934697,13748348705,11318236741,2430111964,850585992,205915068
202107,1,26,부산광역시,2639405,4,11583,4204802337,3886125020,3088626067,797498953,318677316,30874510
202107,1,27,대구광역시,1948903,4,10985,2951309319,2753885913,2226220193,527665720,197423406,20648333
202107,1,28,인천광역시,2320846,4,10977,3696654015,3431443506,2733250044,698193462,265210510,30955178
202107,1,29,광주광역시,1150096,4,11070,1978225453,1860687949,1537147174,323540776,117537504,10064417
202107,1,30,대전광역시,1198958,4,10996,1983090213,1862872589,1542371948,320500641,120217624,13487052
202107,1,31,울산광역시,884420,4,11335,1417258748,1316604249,1083821711,232782538,100654499,8104327
202107,1,36,세종특별자치시,258926,5,15023,527340367,502831911,426598275,76233635,24508456,4310329
202107,1,41,경기도,10634607,4,12107,18632167130,17497315846,14315141994,3182173853,1134851284,169463348
202107,1,42,강원도,1138835,3,9487,1745823557,1630333422,1327340851,302992571,115490135,8704295
202107,1,43,충청북도,1237465,3,9253,1874582641,1759945364,1455106220,304839144,114637276,9592050
