Seq,Region,Rdate,social_distancing
2027,광주광역시,2020-09-19,2
2028,광주광역시,2020-09-20,2
2029,광주광역시,2020-09-21,2
2030,광주광역시,2020-09-22,2
2031,광주광역시,2020-09-23,2
2032,광주광역시,2020-09-24,2
2033,광주광역시,2020-09-25,2
2034,광주광역시,2020-09-26,2
2035,광주광역시,2020-09-27,2
2036,광주광역시,2020-09-28,3
2037,광주광역시,2020-09-29,3
2038,광주광역시,2020-09-30,3
2039,광주광역시,2020-10-01,3
2040,광주광역시,2020-10-02,3
2041,광주광역시,2020-10-03,3
2042,광주광역시,2020-10-04,3
2043,광주광역시,2020-10-05,3
2044,광주광역시,2020-10-06,3
2045,광주광역시,2020-10-07,3
2046,광주광역시,2020-10-08,3
2047,광주광역시,2020-10-09,3
2048,광주광역시,2020-10-10,3
2049,광주광역시,2020-10-11,3
2050,광주광역시,2020-10-12,1
2051,광주광역시,2020-10-13,1
2052,광주광역시,2020-10-14,1
2053,광주광역시,2020-10-15,1
2054,광주광역시,2020-10-16,1
2055,광주광역시,2020-10-17,1
2056,광주광역시,2020-10-18,1
2057,광주광역시,2020-10-19,1
2058,광주광역시,2020-10-20,1
2059,광주광역시,2020-10-21,1
2060,광주광역시,2020-10-22,1
2061,광주광역시,2020-10-23,1
2062,광주광역시,2020-10-24,1
2063,광주광역시,2020-10-25,1
2064,광주광역시,2020-10-26,1
2065,광주광역시,2020-10-27,1
2066,광주광역시,2020-10-28,1
2067,광주광역시,2020-10-29,1
2068,광주광역시,2020-10-30,1
2069,광주광역시,2020-10-31,1
2070,광주광역시,2020-11-01,1
2071,광주광역시,2020-11-02,1
2072,광주광역시,2020-11-03,1
2073,광주광역시,2020-11-04,1
2074,광주광역시,2020-11-05,1
2075,광주광역시,2020-11-06,1
2076,광주광역시,2020-11-07,1
2077,광주광역시,2020-11-08,1
2078,광주광역시,2020-11-09,1
2079,광주광역시,2020-11-10,1
2080,광주광역시,2020-11-11,1
2081,광주광역시,2020-11-12,1
2082,광주광역시,2020-11-13,1
2083,광주광역시,2020-11-14,1
2084,광주광역시,2020-11-15,1
2085,광주광역시,2020-11-16,1
2086,광주광역시,2020-11-17,1
2087,광주광역시,2020-11-18,1
2088,광주광역시,2020-11-19,1
2089,광주광역시,2020-11-20,1
2090,광주광역시,2020-11-21,1
2091,광주광역시,2020-11-22,1
2092,광주광역시,2020-11-23,1
2093,광주광역시,2020-11-24,1
2094,광주광역시,2020-11-25,1
2095,광주광역시,2020-11-26,1
2096,광주광역시,2020-11-27,1
2097,광주광역시,2020-11-28,1
2098,광주광역시,2020-11-29,1
2099,광주광역시,2020-11-30,1
2100,광주광역시,2020-12-01,1
2101,광주광역시,2020-12-02,1
2102,광주광역시,2020-12-03,1
2103,광주광역시,2020-12-04,2
2104,광주광역시,2020-12-05,2
2105,광주광역시,2020-12-06,2
2106,광주광역시,2020-12-07,2
2107,광주광역시,2020-12-08,2
2108,광주광역시,2020-12-09,2
2109,광주광역시,2020-12-10,2
2110,광주광역시,2020-12-11,2
2111,광주광역시,2020-12-12,2
2112,광주광역시,2020-12-13,2
2113,광주광역시,2020-12-14,2
2114,광주광역시,2020-12-15,2
2115,광주광역시,2020-12-16,2
2116,광주광역시,2020-12-17,2
2117,광주광역시,2020-12-18,2
2118,광주광역시,2020-12-19,2
2119,광주광역시,2020-12-20,2
2120,광주광역시,2020-12-21,2
2121,광주광역시,2020-12-22,2
2122,광주광역시,2020-12-23,2
2123,광주광역시,2020-12-24,2
2124,광주광역시,2020-12-25,2
2125,광주광역시,2020-12-26,2
2126,광주광역시,2020-12-27,2
2127,광주광역시,2020-12-28,2
2128,광주광역시,2020-12-29,2
2129,광주광역시,2020-12-30,2
2130,광주광역시,2020-12-31,2
2131,광주광역시,2021-01-01,2
2132,광주광역시,2021-01-02,2
2133,광주광역시,2021-01-03,2
2134,광주광역시,2021-01-04,2
2135,광주광역시,2021-01-05,2
2136,광주광역시,2021-01-06,2
2137,광주광역시,2021-01-07,2
2138,광주광역시,2021-01-08,2
2139,광주광역시,2021-01-09,2
2140,광주광역시,2021-01-10,2
2141,광주광역시,2021-01-11,2
2142,광주광역시,2021-01-12,2
2143,광주광역시,2021-01-13,2
2144,광주광역시,2021-01-14,2
2145,광주광역시,2021-01-15,2
2146,광주광역시,2021-01-16,2
2147,광주광역시,2021-01-17,2
2148,광주광역시,2021-01-18,2
2149,광주광역시,2021-01-19,2
2150,광주광역시,2021-01-20,2
2151,광주광역시,2021-01-21,2
2152,광주광역시,2021-01-22,2
2153,광주광역시,2021-01-23,2
2154,광주광역시,2021-01-24,2
2155,광주광역시,2021-01-25,2
2156,광주광역시,2021-01-26,2
2157,광주광역시,2021-01-27,2
2158,광주광역시,2021-01-28,2
2159,광주광역시,2021-01-29,2
2160,광주광역시,2021-01-30,2
2161,광주광역시,2021-01-31,2
2162,광주광역시,2021-02-01,2
2163,광주광역시,2021-02-02,2
2164,광주광역시,2021-02-03,2
2165,광주광역시,2021-02-04,2
2166,광주광역시,2021-02-05,2
2167,광주광역시,2021-02-06,2
2168,광주광역시,2021-02-07,2
2169,광주광역시,2021-02-08,2
2170,광주광역시,2021-02-09,2
2171,광주광역시,2021-02-10,2
2172,광주광역시,2021-02-11,2
2173,광주광역시,2021-02-12,2
2174,광주광역시,2021-02-13,2
2175,광주광역시,2021-02-14,2
2176,광주광역시,2021-02-15,1
2177,광주광역시,2021-02-16,1
2178,광주광역시,2021-02-17,1
2179,광주광역시,2021-02-18,1
2180,광주광역시,2021-02-19,1
2181,광주광역시,2021-02-20,1
2182,광주광역시,2021-02-21,1
2183,광주광역시,2021-02-22,1
2184,광주광역시,2021-02-23,1
2185,광주광역시,2021-02-24,1
2186,광주광역시,2021-02-25,1
2187,광주광역시,2021-02-26,1
2188,광주광역시,2021-02-27,1
2189,광주광역시,2021-02-28,1
2190,광주광역시,2021-03-01,1
2191,광주광역시,2021-03-02,1
2192,광주광역시,2021-03-03,1
2193,광주광역시,2021-03-04,1
2194,광주광역시,2021-03-05,1
2195,광주광역시,2021-03-06,1
2196,광주광역시,2021-03-07,1
2197,광주광역시,2021-03-08,1
2198,광주광역시,2021-03-09,1
2199,광주광역시,2021-03-10,1
2200,광주광역시,2021-03-11,1
2201,광주광역시,2021-03-12,1
2202,광주광역시,2021-03-13,1
2203,광주광역시,2021-03-14,1
2204,광주광역시,2021-03-15,1
2205,광주광역시,2021-03-16,1
