BASE_DT,CELL_ID,CELL_XCRD,CELL_YCRD,CTDO_CD,CTDO_NM,CCW_CD,CCW_NM,ADNG_CD,ADNG_NW,DOW,TMZN,SEX_DV_CD,YY10_AGLV_ID,CORC_WALK_POPL_CNT,CORC_NTWK_POPL_CNT
20201105,"83,863,801",127.0705,37.56771,11,서울특별시,1123,동대문구,11230660,장안2동,목,0,MALE,5,19,3
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,9,FEMALE,5,23,11
20201105,"70,904,337",126.6134,37.44168,28,인천광역시,2811,중구,28110520,연안동,목,9,MALE,3,8,13
20201105,"83,558,707",127.0627,37.06606,41,경기도,4122,평택시,41220520,서정동,목,19,FEMALE,3,4,7
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,16,MALE,2,10,4
20201105,"68,751,746",126.5835,33.50807,50,제주특별자치도,5011,제주시,50110610,삼양동,목,0,MALE,1,5,5
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,8,FEMALE,3,10,3
20201121,"80,679,980",126.9579,37.55824,11,서울특별시,1141,서대문구,11410555,북아현동,토,9,FEMALE,4,14,5
20201121,"80,375,959",126.9473,37.54016,11,서울특별시,1144,마포구,11440585,도화동,토,14,FEMALE,4,13,12
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,16,MALE,5,51,23
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,15,MALE,3,22,15
20201121,"142,142,894",129.084,35.18529,26,부산광역시,2647,연제구,26470680,연산4동,토,1,MALE,4,5,3
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,12,FEMALE,3,18,13
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,21,MALE,2,10,8
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,18,MALE,4,59,17
20201121,"80,375,959",126.9473,37.54016,11,서울특별시,1144,마포구,11440585,도화동,토,13,FEMALE,6,8,3
20201121,"77,431,663",126.8451,37.32331,41,경기도,4127,안산시,41271590,성포동,토,1,FEMALE,2,21,4
20201121,"80,375,959",126.9473,37.54016,11,서울특별시,1144,마포구,11440585,도화동,토,15,MALE,3,19,9
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,16,FEMALE,1,15,5
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,20,MALE,4,47,6
20201121,"80,375,959",126.9473,37.54016,11,서울특별시,1144,마포구,11440585,도화동,토,13,MALE,4,19,15
20201121,"80,679,980",126.9579,37.55824,11,서울특별시,1141,서대문구,11410555,북아현동,토,15,FEMALE,4,10,4
20201121,"142,142,894",129.084,35.18529,26,부산광역시,2647,연제구,26470680,연산4동,토,14,FEMALE,3,5,4
20201121,"80,679,980",126.9579,37.55824,11,서울특별시,1141,서대문구,11410555,북아현동,토,1,MALE,5,13,4
20201121,"141,438,877",129.0594,35.15811,26,부산광역시,2623,부산진구,26230510,부전1동,토,11,FEMALE,3,5,7
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,12,FEMALE,2,23,10
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,15,FEMALE,5,11,13
20201105,"79,911,943",126.9311,37.5198,11,서울특별시,1156,영등포구,11560540,여의동,목,12,FEMALE,3,32,5
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,8,FEMALE,7,17,6
20201105,"83,912,334",127.0709,37.80927,41,경기도,4163,양주시,41630550,회천3동,목,9,FEMALE,4,4,14
20201105,"79,911,943",126.9311,37.5198,11,서울특별시,1156,영등포구,11560540,여의동,목,13,FEMALE,5,18,4
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,22,MALE,2,11,4
20201105,"83,912,334",127.0709,37.80927,41,경기도,4163,양주시,41630550,회천3동,목,14,FEMALE,2,7,13
20201105,"83,912,334",127.0709,37.80927,41,경기도,4163,양주시,41630550,회천3동,목,6,MALE,3,4,4
20201105,"84,055,102",127.0791,37.25812,41,경기도,4111,수원시,41117570,영통1동,목,22,MALE,1,7,5
20201105,"79,911,943",126.9311,37.5198,11,서울특별시,1156,영등포구,11560540,여의동,목,10,FEMALE,3,28,3
20201105,"83,368,146",127.0521,37.70915,41,경기도,4115,의정부시,41150561,장암동,목,19,MALE,4,8,5
20201105,"73,704,352",126.7114,37.528,28,인천광역시,2824,계양구,28245601,효성1동,목,23,MALE,4,8,7
20201105,"83,368,146",127.0521,37.70915,41,경기도,4115,의정부시,41150561,장암동,목,0,FEMALE,1,6,3
20201105,"65,570,712",126.4612,34.75477,46,전라남도,4683,영암군,46830253,삼호읍,목,21,FEMALE,1,3,3
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,10,MALE,6,45,22
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,17,FEMALE,7,37,5
20201121,"129,425,161",128.657,35.8537,27,대구광역시,2726,수성구,27260561,만촌3동,토,7,MALE,1,4,4
20201121,"141,438,877",129.0594,35.15811,26,부산광역시,2623,부산진구,26230510,부전1동,토,12,FEMALE,5,17,4
20201121,"80,375,959",126.9473,37.54016,11,서울특별시,1144,마포구,11440585,도화동,토,11,FEMALE,6,9,3
20201121,"80,375,959",126.9473,37.54016,11,서울특별시,1144,마포구,11440585,도화동,토,13,MALE,7,3,3
20201121,"80,679,980",126.9579,37.55824,11,서울특별시,1141,서대문구,11410555,북아현동,토,7,FEMALE,7,12,4
20201121,"72,040,077",126.6545,37.3568,28,인천광역시,2818,연수구,28185840,송도3동,토,10,FEMALE,4,3,3
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,13,FEMALE,4,18,7
20201105,"81,042,416",126.9876,35.06066,46,전라남도,4679,화순군,46790250,화순읍,목,14,FEMALE,7,6,6
20201105,"141,982,905",129.0786,35.18581,26,부산광역시,2647,연제구,26470690,연산5동,목,12,MALE,6,5,3
20201105,"83,558,707",127.0627,37.06606,41,경기도,4122,평택시,41220520,서정동,목,18,MALE,1,6,6
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,1,MALE,2,27,3
20201105,"83,784,400",127.0662,37.83539,41,경기도,4163,양주시,41630550,회천3동,목,8,MALE,4,10,3
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,0,MALE,4,18,6
20201105,"83,559,754",127.06,37.53793,11,서울특별시,1120,성동구,11200670,성수2가1동,목,11,FEMALE,4,22,7
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,19,MALE,2,22,5
20201121,"141,438,877",129.0594,35.15811,26,부산광역시,2623,부산진구,26230510,부전1동,토,10,MALE,7,5,4
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,23,FEMALE,1,33,6
20201121,"79,111,932",126.903,37.49217,11,서울특별시,1156,영등포구,11560700,대림1동,토,17,MALE,4,60,24
20201121,"80,679,980",126.9579,37.55824,11,서울특별시,1141,서대문구,11410555,북아현동,토,8,FEMALE,2,5,3
