tDate,NewSum,NewInflowChina,NewInflowAsia,NewInflowEU,NewInflowAmerica,NewInflowAfrica,NewInflowOS,NewConfirmQuarantine,NewConfirmSocial,NewNationalityLocal,NewNationalityForeigner,AccSum,AccInflowChina,AccInflowAsia,AccInflowEU,AccInflowAmerica,AccInflowAfrica,AccInflowOS,AccConfirmQuarantine,AccConfirmSocial,AccNationalityLocal,AccNationalityForeigner
2021-03-11,21,0,8,5,6,2,0,10,11,11,10,7246,40,3229,1247,2354,353,23,3031,4215,3906,3340
2021-03-12,21,0,10,2,6,3,0,6,15,9,12,7267,40,3239,1249,2360,356,23,3037,4230,3915,3352
2021-03-13,16,1,7,2,5,1,0,6,10,6,10,7283,41,3246,1251,2365,357,23,3043,4240,3921,3362
2021-03-14,23,0,12,5,6,0,0,6,17,11,12,7306,41,3258,1256,2371,357,23,3049,4257,3932,3374
2021-03-15,12,0,7,1,4,0,0,7,5,7,5,7318,41,3265,1257,2375,357,23,3056,4262,3939,3379
2021-03-16,18,0,12,1,4,1,0,7,11,10,8,7336,41,3277,1258,2379,358,23,3063,4273,3949,3387
2021-03-17,17,0,9,6,2,0,0,9,8,9,8,7353,41,3286,1264,2381,358,23,3072,4281,3958,3395
2021-03-18,18,0,7,6,5,0,0,9,9,8,10,7371,41,3293,1270,2386,358,23,3081,4290,3966,3405
2021-03-19,22,0,8,5,7,2,0,7,15,7,15,7393,41,3301,1275,2393,360,23,3088,4305,3973,3420
2021-03-20,12,1,7,3,1,0,0,4,8,4,8,7405,42,3308,1278,2394,360,23,3092,4313,3977,3428
2021-03-21,19,0,11,3,1,4,0,9,10,10,9,7424,42,3319,1281,2395,364,23,3101,4323,3987,3437
2021-03-22,19,0,8,6,4,1,0,7,12,10,9,7443,42,3327,1287,2399,365,23,3108,4335,3997,3446
2021-03-23,15,0,3,5,5,2,0,8,7,10,5,7458,42,3330,1292,2404,367,23,3116,4342,4007,3451
2021-03-24,17,0,7,2,6,2,0,8,9,4,13,7476,42,3337,1294,2411,369,23,3124,4352,4012,3464
2021-03-25,11,0,5,1,5,0,0,5,6,4,7,7487,42,3342,1295,2416,369,23,3129,4358,4016,3471
2021-03-26,23,0,13,2,8,0,0,3,20,8,15,7510,42,3355,1297,2424,369,23,3132,4378,4024,3486
2021-03-27,15,0,13,0,0,2,0,3,12,4,11,7525,42,3368,1297,2424,371,23,3135,4390,4028,3497
2021-03-28,20,0,15,1,0,4,0,9,11,8,12,7545,42,3383,1298,2424,375,23,3144,4401,4036,3509
2021-03-29,14,0,7,3,2,2,0,5,9,9,5,7559,42,3390,1301,2426,377,23,3149,4410,4045,3514
2021-03-30,18,0,5,9,4,0,0,3,15,13,5,7576,42,3394,1310,2430,377,23,3151,4425,4058,3518
2021-03-31,15,0,7,3,4,1,0,7,8,10,5,7588,42,3400,1312,2433,378,23,3158,4430,4065,3523
2021-04-01,14,0,5,7,2,0,0,2,12,10,4,7602,42,3405,1319,2435,378,23,3160,4442,4075,3527
2021-04-02,25,0,13,5,5,2,0,11,14,9,16,7628,42,3418,1324,2441,380,23,3171,4457,4084,3544
