 tDate, Country, Province, SchoolFlag, WorkplaceFlag, CancelPublicEventsFlag, RestrictionsOnGatheringsFlag, PublicTransportFlag, StayAtHomeFlag, RestrictionsOnInternalFlag, PublicInformationCampaignsFlag 
2021-09-23,United States,New Jersey,,,,,,,,
2021-09-23,United States,New Mexico,,,,,,,,
2021-09-23,United States,New York,,,,,,,,
2021-09-23,United States,North Carolina,,,,,,,,
2021-09-23,United States,North Dakota,,,,,,,,
2021-09-23,United States,Ohio,,,,,,,,
2021-09-23,United States,Oklahoma,,,,,,,,
2021-09-23,United States,Oregon,,,,,,,,
2021-09-23,United States,Pennsylvania,,,,,,,,
2021-09-23,United States,Rhode Island,,,,,,,,
2021-09-23,United States,South Carolina,,,,,,,,
2021-09-23,United States,South Dakota,,,,,,,,
2021-09-23,United States,Tennessee,,,,,,,,
2021-09-23,United States,Texas,,,,,,,,
2021-09-23,United States,Utah,,,,,,,,
2021-09-23,United States,Vermont,,,,,,,,
2021-09-23,United States,Virginia,,,,,,,,
2021-09-23,United States,Washington,,,,,,,,
2021-09-23,United States,Washington DC,,,,,,,,
2021-09-23,United States,West Virginia,,,,,,,,
2021-09-23,United States,Wisconsin,,,,,,,,
2021-09-23,United States,Wyoming,,,,,,,,
2021-09-23,US Virgin Islands,,1,1,1,1,1,,,1
2021-09-23,Uzbekistan,,,,,,,,,
2021-09-23,Vanuatu,,,,,,,,,1
2021-09-23,Venezuela,,,,,,,,,
2021-09-23,Vietnam,,1,0,0,0,0,0,0,1
2021-09-23,Yemen,,1,1,1,,,0,1,1
2021-09-23,Zambia,,,1,1,1,,,,1
2021-09-23,Zimbabwe,,1,1,1,1,1,1,1,1
