tDate,T_YDTotal,[T_NewInoc,[T_TotalInoc,[1_YDTotal,[1_NewInoc,[1_TotalInoc,[1_Rate,[1_12y_Rate,[1_18y_Rate,[1_60y_Rate,[2_YDTotal,[2_NewInoc,[2_TotalInoc,[2_Rate,[2_12y_Rate,[2_18y_Rate,[2_60y_Rate,[3_YDTotal,[3_NewInoc,[3_TotalInoc,[3_Rate,[3_12y_Rate,[3_18y_Rate,[3_60y_Rate,[4_YDTotal,[4_YDTotal_60y,[4_NewInoc,[4_NewInoc_60y,[4_TotalInoc,[4_TotalInoc_60y,[4_Rate,[4_12y_Rate,[4_18y_Rate,[4_60y_Rate
2021-07-05,0,0,0,15347214,0,15347214,29.9,0,0,0,5320977,625,5321602,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-06,0,0,0,15347603,53758,15401361,30,0,0,0,5326181,42046,5368227,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-07,0,0,0,15402244,37666,15439910,30.1,0,0,0,5400522,62770,5463292,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-08,0,0,0,15440955,35064,15476019,30.1,0,0,0,5491814,61306,5553120,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-09,0,0,0,15476802,37215,15514017,30.2,0,0,0,5579843,74992,5654835,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-10,0,0,0,15515470,57846,15573316,30.3,0,0,0,5684510,117487,5801997,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-11,0,0,0,15573684,12758,15586442,30.4,0,0,0,5832464,39095,5871559,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-12,0,0,0,15586467,470,15586937,30.4,0,0,0,5872306,1103,5873409,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-13,0,0,0,15587120,31182,15618302,30.4,0,0,0,5874416,65958,5940374,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-14,0,0,0,15618505,105958,15724463,30.6,0,0,0,5969183,89167,6058350,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-15,0,0,0,15725361,111631,15836992,30.8,0,0,0,6081732,102000,6183732,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-16,0,0,0,15837964,122645,15960609,31.1,0,0,0,6204664,122041,6326705,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-17,0,0,0,15961710,134302,16096012,31.3,0,0,0,6348774,158333,6507107,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-18,0,0,0,16096294,34384,16130678,31.4,0,0,0,6527332,36553,6563885,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-19,0,0,0,16130726,2358,16133084,31.4,0,0,0,6565026,446,6565472,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-20,0,0,0,16133418,158538,16291956,31.7,0,0,0,6567201,46093,6613294,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-21,0,0,0,16292908,149984,16442892,32,0,0,0,6639744,45095,6684839,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-22,0,0,0,16443830,139214,16583044,32.3,0,0,0,6699411,23593,6723004,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-23,0,0,0,16583347,140190,16723537,32.6,0,0,0,6738087,41104,6779191,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
