tDate,Country,Number,HolidayName
2024-03-31,Denmark,1,Easter Sunday
2024-03-31,Estonia,1,Easter Sunday
2024-03-31,Hungary,1,Easter Sunday
2024-03-31,Iceland,1,Easter Sunday
2024-03-31,Italy,1,Easter Sunday
2024-03-31,Latvia,1,Easter Sunday
2024-03-31,Lithuania,1,Easter Sunday
2024-03-31,Netherlands,1,Easter Sunday
2024-03-31,Norway,1,Easter Sunday
2024-03-31,Poland,1,Easter Sunday
2024-03-31,Portugal,1,Easter Sunday
2024-03-31,Slovenia,1,Easter Sunday
2024-03-31,Sweden,1,Easter Sunday
2024-03-30,Chile,1,Holy Saturday
2024-03-29,Australia,1,Good Friday
2024-03-29,Canada,1,Good Friday
2024-03-29,Chile,1,Good Friday
2024-03-29,Colombia,1,Good Friday
2024-03-29,Costa Rica,1,Good Friday
2024-03-29,Czechia,1,Good Friday
2024-03-29,Denmark,1,Good Friday
2024-03-29,Estonia,1,Good Friday
2024-03-29,Finland,1,Good Friday
2024-03-29,Germany,1,Good Friday
2024-03-29,Hungary,1,Good Friday
2024-03-29,Iceland,1,Good Friday
2024-03-29,Latvia,1,Good Friday
2024-03-29,Netherlands,1,Good Friday
2024-03-29,New Zealand,1,Good Friday
2024-03-29,Norway,1,Good Friday
2024-03-29,Portugal,1,Good Friday
2024-03-29,Slovakia,1,Good Friday
2024-03-29,Spain,1,Good Friday
2024-03-29,Sweden,1,Good Friday
2024-03-29,United Kingdom,1,Good Friday
2024-03-28,Colombia,1,Maundy Thursday
2024-03-28,Costa Rica,1,Maundy Thursday
2024-03-28,Denmark,1,Maundy Thursday
2024-03-28,Iceland,1,Maundy Thursday
2024-03-28,Norway,1,Maundy Thursday
2024-03-25,Colombia,1,Day off for Saint Joseph`s Day
2024-03-25,Greece,1,25th of March (national holiday)
2024-03-25,Greece,2,Annunciation of the Lord
2024-03-19,Colombia,1,Saint Joseph`s Day
2024-03-18,Greece,1,Clean Monday
2024-03-18,Mexico,1,Benito Juarez`s Birthday Memorial
2024-03-17,Ireland,1,St. Patrick`s Day
2024-03-15,Hungary,1,1848 Revolution Memorial Day
2024-03-11,Lithuania,1,Independence Day/National Day
2024-03-08,China,1,International Women`s Day
2024-03-01,South Korea,1,Independence Movement Day
2024-02-28,Taiwan,1,Peace Memorial Day
2024-02-24,Estonia,1,Independence Day
2024-02-23,Japan,1,Emperor`s Birthday
2024-02-19,United States,1,Presidents` Day
2024-02-16,Lithuania,1,Independence Restoration Day
2024-02-15,China,1,Spring Festival Golden Week holiday
2024-02-14,China,1,Spring Festival Golden Week holiday
2024-02-14,Taiwan,1,Chinese New Year Holiday
2024-02-13,China,1,Spring Festival Golden Week holiday
2024-02-13,Taiwan,1,Chinese New Year Holiday
2024-02-12,China,1,Spring Festival Golden Week holiday
2024-02-12,Japan,1,National Foundation Day observed
2024-02-12,South Korea,1,Seollal Holiday
2024-02-12,Taiwan,1,Chinese New Year Holiday
2024-02-11,China,1,Spring Festival Golden Week holiday
2024-02-11,Japan,1,National Foundation Day
2024-02-11,Taiwan,1,Chinese New Year Holiday
2024-02-10,China,1,Chinese New Year
2024-02-10,South Korea,1,Seollal
2024-02-10,Taiwan,1,Chinese New Year`s Day
2024-02-09,China,1,Spring Festival Eve
2024-02-09,South Korea,1,Seollal Holiday
2024-02-09,Taiwan,1,Chinese New Year`s Eve
2024-02-08,Slovenia,1,Pre?eren Day
2024-02-06,New Zealand,1,Waitangi Day
2024-02-05,Mexico,1,Constitution Day
2024-01-26,Australia,1,Australia Day
2024-01-15,United States,1,Martin Luther King Jr. Day
2024-01-08,Colombia,1,Day off for Epiphany
2024-01-08,Japan,1,Coming of Age Day
2024-01-06,Austria,1,Epiphany
2024-01-06,Colombia,1,Epiphany
2024-01-06,Finland,1,Epiphany
2024-01-06,Greece,1,Epiphany
2024-01-06,Italy,1,Epiphany
2024-01-06,Poland,1,Epiphany
2024-01-06,Slovakia,1,Epiphany
2024-01-06,Spain,1,Epiphany
2024-01-06,Sweden,1,Epiphany
2024-01-02,New Zealand,1,Day after New Year`s Day
2024-01-02,Slovenia,1,New Year holiday
2024-01-01,Australia,1,New Year`s Day
2024-01-01,Austria,1,New Year`s Day
2024-01-01,Belgium,1,New Year`s Day
2024-01-01,Canada,1,New Year`s Day
2024-01-01,Chile,1,New Year`s Day
2024-01-01,China,1,New Year`s Day
2024-01-01,Colombia,1,New Year`s Day
2024-01-01,Costa Rica,1,New Year`s Day
2024-01-01,Czechia,1,New Year`s Day
2024-01-01,Czechia,2,Restoration of the Czech Independence Day
2024-01-01,Denmark,1,New Year`s Day
2024-01-01,Estonia,1,New Year`s Day
2024-01-01,Finland,1,New Year`s Day
2024-01-01,France,1,New Year`s Day
2024-01-01,Germany,1,New Year`s Day
2024-01-01,Greece,1,New Year`s Day
2024-01-01,Hungary,1,New Year`s Day
2024-01-01,Iceland,1,New Year`s Day
2024-01-01,Ireland,1,New Year`s Day
2024-01-01,Italy,1,New Year`s Day
2024-01-01,Japan,1,New Year`s Day
2024-01-01,Latvia,1,New Year`s Day
2024-01-01,Lithuania,1,New Year`s Day
2024-01-01,Luxembourg,1,New Year`s Day
2024-01-01,Mexico,1,New Year`s Day
2024-01-01,Netherlands,1,New Year`s Day
2024-01-01,New Zealand,1,New Year`s Day
2024-01-01,Norway,1,New Year`s Day
2024-01-01,Poland,1,New Year`s Day
2024-01-01,Portugal,1,New Year`s Day
2024-01-01,Slovakia,1,Republic Day
2024-01-01,Slovenia,1,New Year`s Day
2024-01-01,South Korea,1,New Year`s Day
2024-01-01,Spain,1,New Year`s Day
2024-01-01,Sweden,1,New Year`s Day
2024-01-01,Taiwan,1,Republic Day/New Year`s Day
2024-01-01,Turkey,1,New Year`s Day
2024-01-01,United Kingdom,1,New Year`s Day
2024-01-01,United States,1,New Year`s Day
2023-12-31,Iceland,1,New Year`s Eve (from noon)
2023-12-31,Latvia,1,New Year`s Eve
2023-12-26,Australia,1,Boxing Day
2023-12-26,Austria,1,St. Stephen`s Day
2023-12-26,Canada,1,Boxing Day
2023-12-26,Czechia,1,St. Stephen`s Day
2023-12-26,Denmark,1,2nd Christmas Day
2023-12-26,Estonia,1,Boxing Day
2023-12-26,Finland,1,Boxing Day
2023-12-26,Germany,1,Boxing Day
2023-12-26,Greece,1,Synaxis of the Mother of God
2023-12-26,Hungary,1,Second Day of Christmas
2023-12-26,Iceland,1,Second Day of Christmas
2023-12-26,Ireland,1,St. Stephen`s Day
2023-12-26,Italy,1,St. Stephen`s Day
2023-12-26,Latvia,1,Second Day of Christmas
2023-12-26,Lithuania,1,Second Day of Christmas
2023-12-26,Luxembourg,1,St Stephen`s Day
2023-12-26,Netherlands,1,Second Day of Christmas
2023-12-26,New Zealand,1,Boxing Day
2023-12-26,Norway,1,Boxing Day
2023-12-26,Poland,1,Second Day of Christmas
2023-12-26,Slovakia,1,St. Stephen`s Day
2023-12-26,Slovenia,1,Independence and Unity Day
2023-12-26,Sweden,1,Boxing Day
2023-12-26,United Kingdom,1,Boxing Day
2023-12-25,Australia,1,Christmas Day
2023-12-25,Austria,1,Christmas Day
2023-12-25,Belgium,1,Christmas Day
2023-12-25,Canada,1,Christmas Day
2023-12-25,Chile,1,Christmas Day
2023-12-25,Colombia,1,Christmas Day
2023-12-25,Costa Rica,1,Christmas Day
2023-12-25,Czechia,1,Christmas Day
2023-12-25,Denmark,1,Christmas Day
