tDate,YesterdaySum,YesterdayPositivityConfirmed,YesterdayPositivityQuarantineRelease,YesterdayPositivityInQuarantine,YesterdayPositivityDead,YesterdayInspection,YesterdayNegative,TodaySum,TodayPositivityConfirmed,TodayPositivityQuarantineRelease,TodayPositivityInQuarantine,TodayPositivityDead,TodayInspection,TodayNegative,VarianceSum,VariancePositivityConfirmed,VariancePositivityQuarantineRelease,VariancePositivityInQuarantine,VariancePositivityDead,VarianceInspection,VarianceNegative
2021-04-24,8583530,117458,107071,8576,1811,69939,8396133,8632923,118243,107781,8650,1812,78269,8436411,49393,785,710,74,1,8330,40278
2021-04-25,8632923,118243,107781,8650,1812,78269,8436411,8654791,118887,108475,8599,1813,77560,8458344,21868,644,694,-51,1,-709,21933
2021-04-26,8654791,118887,108475,8599,1813,77560,8458344,8672979,119387,108850,8720,1817,78084,8475508,18188,500,375,121,4,524,17164
2021-04-27,8672978,119386,108850,8719,1817,78084,8475508,8721609,119898,109695,8383,1820,76508,8525203,48631,512,845,-336,3,-1576,49695
2021-04-28,8721609,119898,109695,8383,1820,76508,8525203,8766498,120673,110248,8604,1821,77166,8568659,44889,775,553,221,1,658,43456
2021-04-29,8766497,120671,110248,8602,1821,77166,8568660,8805779,121351,110787,8739,1825,80392,8604036,39282,680,539,137,4,3226,35376
2021-04-30,8805779,121346,110787,8734,1825,80392,8604041,8848292,122007,111422,8757,1828,82511,8643774,42513,661,635,23,3,2119,39733
2021-05-01,8848292,122007,111422,8757,1828,82511,8643774,8883388,122634,112337,8466,1831,85212,8675542,35096,627,915,-291,3,2701,31768
2021-05-02,8883388,122634,112337,8466,1831,85212,8675542,8898234,123240,112865,8542,1833,86607,8688387,14846,606,528,76,2,1395,12845
2021-05-03,8898234,123240,112865,8542,1833,86607,8688387,8915326,123728,113356,8538,1834,89022,8702576,17092,488,491,-4,1,2415,14189
2021-05-04,8915326,123728,113356,8538,1834,89022,8702576,8957155,124269,114128,8301,1840,78096,8754790,41829,541,772,-237,6,-10926,52214
2021-05-05,8957155,124269,114128,8301,1840,78096,8754790,8994069,124945,114944,8154,1847,78995,8790129,36914,676,816,-147,7,899,35339
2021-05-06,8994069,124945,114944,8154,1847,78995,8790129,9010992,125519,115491,8177,1851,77055,8808418,16923,574,547,23,4,-1940,18289
2021-05-07,9010992,125519,115491,8177,1851,77055,8808418,9051354,126044,116022,8162,1860,78896,8846414,40362,525,531,-15,9,1841,37996
2021-05-08,9051354,126044,116022,8162,1860,78896,8846414,9089166,126745,116881,7999,1865,78259,8884162,37812,701,859,-163,5,-637,37748
2021-05-09,9089166,126745,116881,7999,1865,78259,8884162,9105771,127309,117423,8012,1874,81280,8897182,16605,564,542,13,9,3021,13020
2021-05-10,9105771,127309,117423,8012,1874,81280,8897182,9122059,127772,117844,8053,1875,83398,8910889,16288,463,421,41,1,2118,13707
2021-05-11,9122059,127772,117844,8053,1875,83398,8910889,9164284,128283,118717,7687,1879,84628,8951373,42225,511,873,-366,4,1230,40484
2021-05-12,9164284,128283,118717,7687,1879,84628,8951373,9201539,128918,119373,7661,1884,84279,8988342,37255,635,656,-26,5,-349,36969
